epoch,loss,lr,val_loss
0,1.0755690336227417,0.001,1.2599008083343506
1,0.8514517545700073,0.001,1.2536132335662842
2,0.7030138969421387,0.001,1.2697194814682007
3,0.612490713596344,0.001,1.2927297353744507
4,0.567119300365448,0.001,1.3128741979599
5,0.5337756276130676,0.001,1.3334239721298218
6,0.48405399918556213,0.000100000005,1.3298821449279785
7,0.4751189351081848,0.000100000005,1.3312046527862549
8,0.4672510325908661,0.000100000005,1.3336255550384521
9,0.4632459580898285,0.000100000005,1.3361916542053223
10,0.45547008514404297,1.0000001e-05,1.3364282846450806
11,0.45451655983924866,1.0000001e-05,1.3365353345870972
